last_name,cited_name,classification,title,full_name,creation_date,nationality,index
Porter,"Porter, Liliana",prints,Arrugas,Liliana Porter,1970,Argentine,7117
Seguí,"Seguí, Antonio",prints,Manhattan aux Enzymes,Antonio Seguí,1969,Argentine,7118
Zachrisson,"Zachrisson, Julio",prints,Astronauta,Julio Zachrisson,1970,Panamanian,7119
Mathieu,"Mathieu, Georges",drawings and watercolors,Dessin,Georges Mathieu,1958,French,7120
Qualters,"Qualters, Robert",prints,Even the great Brueghel,Robert Qualters,1998,American,7121
Qualters,"Qualters, Robert",prints,Edward Hopper was driving,Robert Qualters,1998,American,7122
Qualters,"Qualters, Robert",prints,A Letter to Saskia,Robert Qualters,1998,American,7123
Qualters,"Qualters, Robert",prints,Matisse à la recherche,Robert Qualters,1998,American,7124
Qualters,"Qualters, Robert",prints,Vermeer Painting,Robert Qualters,1998,American,7125
Weber,"Weber, Edward J.",drawings and watercolors,"Sketch of Church at Renton, Pa.",Edward J. Weber,1923,American,7130
Weber,"Weber, Edward J.",drawings and watercolors,"Sketch of a Mission Church for a Suburb of Pittsburgh, Pa.",Edward J. Weber,1925,American,7131
Judd,"Judd, Donald",drawings and watercolors,Untitled (Study for Disconnected Progression),Donald Judd,1974,American,7132
Murakami,"Murakami, Tomoharu",drawings and watercolors,Untitled,Tomoharu Murakami,1986,Japanese,7133
Murakami,"Murakami, Tomoharu",drawings and watercolors,Untitled,Tomoharu Murakami,1986,Japanese,7134
Webster,"Webster, Meg",drawings and watercolors,Paprika,Meg Webster,1986,American,7135
McPherson,"McPherson, Craig",prints,Clairton,Craig McPherson,1997,American,7138
Lazzell,"Lazzell, Blanche",drawings and watercolors,Cubist Composition #2,Blanche Lazzell,1924,American,7141
Artschwager,"Artschwager, Richard",sculpture,Contemplation,Richard Artschwager,1991,American,7144
Picasso,"Picasso, Pablo",prints,Scene D'Interieur,Pablo Picasso,1926,Spanish,7147
Katz,"Katz, Alex",prints,Sunset on the Lake,Alex Katz,1975,American,7148
Palmer,"Palmer, Samuel",prints,The Lonely Tower,Samuel Palmer,1879,English,7152
Woods,"Woods, Lebbeus",drawings and watercolors,"D-Quad 190: Geothermal living lab, from the Centricity series [exterior perspective]",Lebbeus Woods,1987,American,7153
Held,"Held, Al",paintings,"The I and the We, Part I: The I",Al Held,1967,American,7154
Held,"Held, Al",paintings,We,Al Held,1967,American,7155
Gorson,"Gorson, Aaron H.",paintings,"View of St. Pierre Ravine, Pittsburgh",Aaron Henry Gorson,1904,American,7167
Klimt,"Klimt, Gustav",drawings and watercolors,Standing Woman (Paula Zuckerkandl) (Study for the painting Portrait of Paula Zuckerkandl),Gustav Klimt,c. 1911,Austrian,7168
Amato,"Amato, Vincenzo",sculpture,Pine Tree and Gentleman,Vincenzo Amato,1999,Italian,7169
Stanger,"Stanger, David",paintings,My Golem: One Eye Open,David Stanger,1999,American,7170
Church,"Church, Frederic Edwin",drawings and watercolors,"Iceberg in the Open Sea, St. John's Newfoundland",Frederic Edwin Church,7/1/1859,American,7178
Baer,"Baer, Jo",drawings and watercolors,Untitled,Jo Baer,1980,American,7179
McCracken,"McCracken, John",sculpture,Untitled (Blue Leaning Plank),John McCracken,1969,American,7180
Lewis,"Lewis, Marcia",sculpture,Wearable Review and Table Mirror,Marcia Lewis,c. 1978-1980,American,7185
David D'Angers,"David D'Angers, Pierre-Jean",sculpture,"Profile Portrait of General Charles Antoine Louis Alexis, Comte de Morand",Pierre-Jean David D'Angers,c. 1834,French,7197
Ruscha,"Ruscha, Edward",paintings,"La Brea, Sunset, Orange, De Longpre",Edward Ruscha,1999,American,7203
Shinn,"Shinn, Everett",paintings,"Street Vendor, Paris",Everett Shinn,1912,American,7208
Moholy-Nagy,"Moholy-Nagy, László",prints,Untitled [Plate 3],László Moholy-Nagy,1922-1923,American,7209
Arms,"Arms, John Taylor",drawings and watercolors,"Study for ""Eglise Saint Gervais, Gisors""",John Taylor Arms,c. 1930,American,7211
Arms,"Arms, John Taylor",prints,"L'Eglise Saint Gervais, Gisors",John Taylor Arms,1932,American,7212
Lievens,"Lievens, Jan",prints,Saint Jerome,Jan Lievens,c. 1630-1631,Dutch,7214
Botta,"Botta, Mario",drawings and watercolors,"House; Single-Family House, Breganzona, Ticino, Switzerland [sketch]",Mario Botta,1986,Swiss,7215
Isozaki,"Isozaki, Arata",drawings and watercolors,"Museum; Museum of Contemporary Art, Los Angeles, California [sketch]",Arata Isozaki,1982,Japanese,7216
Krier,"Krier, Leon",drawings and watercolors,"Market; ""Market of Antiquities,"" project for the New District of Tegel, Berlin, Germany; [bird's eye and worm's-eye axonometric drawings]",Leon Krier,1983,Luxembourgeois,7217
Maki,Maki Fumihiko,drawings and watercolors,"Sports Building; Tokyo Metropolitan Gymnasium, [sketch]",Maki Fumihiko,c. 1986,Japanese,7218
Stirling,"Stirling, James",drawings and watercolors,"Multipurpose Building; Study for No. 1 Poultry (Mansion House), scheme A; [worm's-eye axonometric drawing]",James Stirling,1986,British,7219
Stirling,"Stirling, James",drawings and watercolors,"Multipurpose Building; Study for No. 1 Poultry (Mansion House), scheme B, [worm's-eye axonometric drawing]",James Stirling,1986,British,7220
